Регион,Индекс цен на первичном рынке для всех типов квартир за I квартал,Индекс цен на первичном рынке для низкого качества за I квартал,Индекс цен на первичном рынке для среднего качества (типовые) за I квартал,Индекс цен на первичном рынке для улучшенного качества за I квартал,Индекс цен на первичном рынке для элитного качества за I квартал,Индекс цен на первичном рынке для всех типов квартир за II квартал,Индекс цен на первичном рынке для низкого качества за II квартал,Индекс цен на первичном рынке для среднего качества (типовые) за II квартал,Индекс цен на первичном рынке для улучшенного качества за II квартал,Индекс цен на первичном рынке для элитного качества за II квартал,Индекс цен на первичном рынке для всех типов квартир за IV квартал,Индекс цен на первичном рынке для низкого качества за IV квартал,Индекс цен на первичном рынке для среднего качества (типовые) за IV квартал,Индекс цен на первичном рынке для улучшенного качества за IV квартал,Индекс цен на первичном рынке для элитного качества за IV квартал,Индекс цен на первичном рынке для всех типов квартир за период с начала года
Российская Федерация,108.02,108.06,108.25,106.42,106.48,105.18,107.34,108.38,104.33,105.73,103.42,102.45,100.85,99.9,101.65,101.09
Центральный федеральный округ,107.9,110.18,108.1,105.34,106.92,98.1,107.6,113.03,102.31,107.22,102.03,99.19,102.3,96.06,103.71,103.61
Белгородская область,111.31,111.65,111.28,,105.02,99.57,105.54,,100.85,100.05,100.93,,101.19,100,101.29,
Брянская область,125.37,127.72,111.79,140,99.96,99.7,101.37,100,100.53,100.67,99.91,100,100.67,100.71,100.6,100
Владимирская область,114.42,116.17,114.22,,106.67,123.18,104.71,,102.76,100.84,103.03,,100.51,96.04,101.12,
Воронежская область,108.25,109.07,107.96,105.06,107.82,109.05,107.35,106.95,101.94,102.78,101.63,100,105.74,101.5,107.48,100
Ивановская область,104.31,,104.31,,103.06,,103.06,,99.35,,99.35,,100.45,,100.45,
Калужская область,107.24,105.68,107.86,102.19,123.3,123.19,123.65,100,101.21,93.55,103.7,116.53,98.45,105.75,96.15,100
Костромская область,104.13,,104.13,,105.4,,105.4,,104.45,,104.45,,106.37,,106.37,
Курская область,105.8,,105.8,,104.66,,104.66,,107.15,,107.15,,98.39,,98.39,
Липецкая область,115.9,100.11,117.95,104.14,103.56,101.64,103.68,107.92,101.61,125.13,99.1,115.13,102.33,105.09,102.26,88.8
Московская область,109.24,111.66,107.89,106.52,108.5,102.9,111.8,97.54,101.16,101.71,100.87,101.29,99.71,99.58,99.78,99.8
Орловская область,103.34,106.98,103.04,106.99,109.45,109.52,110.01,100.92,105.79,100,105.35,114.79,100.07,104.32,100.13,98.01
Рязанская область,112.5,111.47,112.61,,116.48,122.26,115.85,,103.29,103.26,103.3,,107.06,105.18,107.27,
Смоленская область,110.3,118.94,107.32,,109.36,109.63,109.25,,101.61,106.98,99.55,,101.72,93.82,104.98,
Тамбовская область,116.04,114.45,116.78,108,107.16,102.13,109.44,108,98.51,101.52,97.23,100,102.68,101.98,102.99,102
Тверская область,115.24,,115.55,110.23,102.79,,102.96,100.02,101.3,,101.43,99.11,106.52,,106.68,103.64
Тульская область,105.47,100.95,106.42,101.83,104.3,101.74,102.16,116.37,103.78,111.61,104.51,98.59,98.72,100,98.39,100
Ярославская область,112.55,110.29,113.93,112.62,108.05,109.6,107.14,105,103.2,102.94,103.36,102,103.42,102.08,104.26,100
Город Москва столица Российской Федерации город федерального значения,105.27,103.17,105.85,105.25,105.2,75.22,104.79,113.2,102.51,126.62,101.79,99.09,102.05,81.41,105.06,103.74
Северо-Западный федеральный округ,108.47,108.01,109.77,109.43,105.79,106.13,106.09,100.55,106.86,107.36,103.99,111.49,98.58,99.27,96.89,96.15
Республика Карелия,106.51,104.37,107.39,,111.03,100.48,115.24,,103.96,104.74,103.7,,101.59,99.18,102.43,
Республика Коми,111.37,,111.37,,106.95,,106.95,,101.27,,101.27,,105.33,,105.33,
Архангельская область,105.61,109.52,105.13,102.84,102.97,102.75,103.05,100.57,101.12,97.53,101.66,100.13,101.88,104.82,101.49,100.98
Ненецкий автономный округ (Архангельская область),99.65,,99.65,,100.63,,100.63,,100.0,,100,,100.0,,100,
Архангельская область (кроме Ненецкого автономного округа),106.04,109.52,105.6,102.84,103.12,102.75,103.25,100.57,101.19,97.53,101.79,100.13,102.0,104.82,101.61,100.98
Вологодская область,110.45,107.25,120.35,109.85,109.83,110.48,108.28,100,104.72,105.92,101.42,101.27,103.43,104.19,101.29,98.98
Калининградская область,108.52,107.09,109.84,,109.84,108.85,110.73,,95.82,93.86,97.55,,106.38,112.96,100.82,
Ленинградская область,112.62,112.62,,,122.7,122.7,,,113.72,113.72,,,100.4,100.4,,
Новгородская область,102.71,100.09,104.83,,102.85,100.28,104.84,,103.28,102.88,103.58,,105.1,101.91,107.45,
Псковская область,116.32,114.5,123.35,100.43,104.07,105.78,100,100,106.3,104.06,112.91,102,100.74,100.16,102.26,100
Город Санкт-Петербург город федерального значения,108.48,108.07,109.91,109.48,105.52,106.01,105.29,100.55,107.41,107.65,104.87,111.59,98.04,98.94,94.85,96.11
Южный федеральный округ,105.7,103.03,109.33,104.44,103.95,102.49,105.87,102.64,103.28,102.84,104.01,100.11,100.49,100.62,100.29,101.42
Республика Адыгея (Адыгея),112.88,112.6,116.51,,103.74,103.89,101.9,,112.34,112.07,115.85,,101.51,100.97,108.22,
Республика Калмыкия,100.0,100,100,,100.4,100.51,100,,97.75,97.14,100,,103.27,104.18,100,
Республика Крым,104.71,104.34,106.05,100,103.21,102.39,105.97,104.65,103.14,103.11,103.41,91.83,104.1,106.16,97.36,100
Краснодарский край,104.13,101.56,109.95,100,100.28,101.68,97.87,95.82,103.19,101.61,106.94,96.48,99.96,99.63,100.61,100
Астраханская область,111.23,103.2,112.34,100,107.84,100.17,108.71,100,99.57,103.17,99.25,101.06,102.56,103.57,102.56,100
Волгоградская область,107.85,107.39,107.99,108.6,108.22,110.65,106.34,109.44,105.25,107.15,102.97,109.46,102.72,100.34,103.78,105.39
Ростовская область,110.06,107.05,110.73,113.56,114.94,105.69,117.42,112.93,103.1,107.66,102.24,97.77,99.59,101.24,99.18,99.67
Город федерального значения Севастополь,101.22,103.52,100.04,,100.86,102.49,100,,98.84,96.7,100,,99.85,99.56,100,
Северо-Кавказский федеральный округ,108.14,112.17,105.11,103.22,100.14,97.29,102.59,101.22,104.53,103.58,105.63,99.57,103.04,104.72,101.48,106.09
Республика Дагестан,108.77,100,124.16,102.04,100.68,99.98,101.69,100,109.93,117.05,101.83,102.67,104.51,107.37,100.95,100
Республика Ингушетия,101.28,101.72,100,100,99.19,98.91,100,100,101.54,101.07,102.98,102.9,100.44,100.6,100,100
Кабардино-Балкарская Республика,155.16,164.67,126,,88.06,87.72,89.44,,102.78,103.28,100.81,,101.74,101.17,104.03,
Карачаево-Черкесская Республика,105.08,112.49,102.65,100,100.0,100,100,100,99.98,100,99.97,100,100.08,100,100.13,100
Республика Северная Осетия-Алания,104.62,105.64,103.21,111.22,104.14,107.41,101.6,100,103.73,102.6,105.11,100.09,102.67,100.1,105.24,100.04
Чеченская Республика,100.94,100.8,101.23,101.26,99.31,99.61,98.69,98.81,96.98,96.54,97.91,97.58,100.69,101.03,100,100
Ставропольский край,105.48,109.2,103.55,101.07,100.87,95.59,103.9,103.44,105.48,103.2,106.98,98.46,103.52,108.14,100.69,115.04
Приволжский федеральный округ,109.9,110.8,109.43,107.35,108.48,109.02,108.32,105.44,105.13,106.12,104.38,105.06,101.82,100.86,102.82,98.97
Республика Башкортостан,107.76,109.83,104.69,105.61,113.14,115.32,109.61,111.55,107.25,106.32,108.46,110.22,102.72,101.12,107.75,89.72
Республика Марий Эл,108.44,112.69,105.76,,103.51,106.91,101.24,,104.27,104.55,104.07,,105.33,107.27,103.95,
Республика Мордовия,111.77,113.6,111.46,,108.54,107.29,108.76,,102.99,108.28,102.11,,101.52,96.59,102.39,
Республика Татарстан (Татарстан),109.22,109.24,108.73,117.84,105.7,105.08,105.81,111.68,108.27,110.23,107.04,104.58,102.4,98.84,105.37,98.61
Удмуртская Республика,103.2,101.74,105.74,100.29,102.8,101.64,104.94,100.07,102.14,102.03,103.27,100.03,100.39,100.16,100.65,100.14
Чувашская Республика - Чувашия,110.89,112.56,109.7,107.45,103.02,102.68,104.15,97.48,101.91,101.94,102.12,100,102.13,102.53,101.96,100.24
Пермский край,110.43,111.61,110.12,109.43,108.37,111.39,107.69,103.07,103.94,106.7,102.89,106.98,100.29,100.59,100.19,100.25
Кировская область,111.46,115.99,107.93,101.65,110.39,108.72,111.93,101.65,99.44,95.85,102.44,100.99,101.3,100.81,101.68,101
Нижегородская область,109.71,105.36,111.38,111.05,112.16,111.35,113.11,105.55,103.47,101.83,104.22,102.1,101.75,102.69,101.44,101.34
Оренбургская область,109.6,109.43,110.04,100,102.78,103.12,102.56,100,105.71,108.88,103.03,100,100.39,100.17,100.61,100
Пензенская область,114.36,115.09,114.31,,110.7,102.36,111.23,,104.09,109.71,103.76,,100.37,114.56,99.49,
Самарская область,109.46,108.77,110.46,100.99,112.4,117.89,110.18,104.89,101.25,102.9,99.36,116.46,101.63,99.91,101.97,109.57
Саратовская область,121.39,122.48,110.46,102.99,104.92,105.12,114.72,100,110.95,111.32,102.25,103.56,101.44,101.51,99.37,100
Ульяновская область,109.92,108.42,111.96,,111.77,113.37,109.66,,103.82,102.38,105.79,,101.6,103.97,98.47,
Уральский федеральный округ,105.64,106.96,105.38,104.97,107.19,106.25,107.53,104.75,103.69,102.46,104.1,101.13,101.07,103.31,100.67,99.03
Курганская область,109.1,108.38,109.44,,104.8,104.42,104.99,,106.65,101.1,109.28,,102.35,106.41,100.56,
Свердловская область,105.81,107.1,105.44,107.89,107.12,104.65,107.91,102.58,103.81,101.75,104.03,104.21,101.84,104.36,101.5,102.16
Тюменская область,104.23,104.91,104.3,96.22,105.58,104.05,105.73,110.69,104.05,103.48,104.37,94.51,99.74,102.38,99.57,86.19
Ханты-Мансийский автономный округ - Югра (Тюменская область),104.28,102.25,105.02,,108.57,105.67,109.6,,106.33,101.95,107.82,,100.4,101.22,100.14,
Ямало-Ненецкий автономный округ (Тюменская область),101.74,100,104.44,,100.98,100,102.42,,100.1,100.06,100.15,,100.1,100.17,100,
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),104.25,106.45,104.18,96.22,105.03,103.54,105.09,110.69,103.62,104.37,103.77,94.51,99.59,103.01,99.47,86.19
Челябинская область,109.97,109.08,110.88,106.92,113.39,109.78,116.8,107.64,101.85,101.9,102.11,93.16,103.58,103.45,103.52,108.48
Сибирский федеральный округ,110.88,112.74,109.59,116.17,106.12,105.32,106.81,99.76,103.04,102.52,103.15,110.23,102.29,101.77,102.87,94.1
Республика Алтай,113.67,111.98,115.74,,108.27,105.63,111.39,,96.67,98.51,94.61,,100.09,100.16,100,
Республика Тыва,118.65,118.65,,,99.97,99.97,,,100.09,100.09,,,95.75,95.75,,
Республика Хакасия,113.36,105.96,115.34,,103.7,100.26,104.55,,103.06,108.96,101.67,,100.29,100,100.37,
Алтайский край,109.18,109.12,109.18,110,107.18,108.85,106.77,104.87,102.75,105.19,102.09,103.11,103.42,103.52,103.34,107.88
Красноярский край,105.98,106.64,105.91,97.99,104.75,106.37,104.5,112.17,103.28,100.88,103.62,104,100.93,103.04,100.65,95.01
Иркутская область,106.57,107.31,106.3,,104.19,94.92,107.64,,104.57,105.72,104.19,,105.09,105.05,105.1,
Кемеровская область - Кузбасс,137.21,140.67,132.72,,103.84,100.83,107.98,,101.0,100.86,101.18,,100.66,100.57,100.78,
Новосибирская область,109.69,108.33,110.75,117.93,106.39,105.59,108.62,97.68,103.4,102.52,103.8,111.13,100.47,100.97,100.95,90.6
Омская область,111.57,112.8,110.07,112.7,106.44,108.17,104.27,107.95,104.13,102.48,105.99,109.72,106.38,103.08,110.35,107.85
Томская область,106.24,104.1,106.38,,109.63,112.11,109.47,,101.74,102.35,101.7,,104.01,106.46,103.85,
Дальневосточный федеральный округ,105.08,103.97,105.88,100.56,107.05,103.33,109.43,99.68,101.43,101.83,101.23,100.74,100.55,100.38,100.59,102.15
Республика Бурятия,103.57,103.29,103.99,,102.07,101.47,103,,105.43,103.55,108.28,,92.95,91.65,94.83,
Республика Саха (Якутия),104.45,106.66,100.12,,104.81,106.97,100.3,,100.66,100.97,99.99,,99.44,99.17,100.05,
Забайкальский край,104.55,,104.55,,128.26,,128.26,,101.55,,101.55,,101.24,,101.24,
Камчатский край,102.36,100,103.37,,99.07,100,98.69,,100.0,100,100,,105.93,100,108.4,
Приморский край,106.21,102.55,107.61,100.45,104.94,102.36,105.91,100.18,100.82,99.54,101.2,100.11,100.74,101.87,100.35,102.75
Хабаровский край,102.77,102.87,102.86,100.86,103.44,109.38,100.9,98.31,101.93,103.84,100.87,102.51,98.86,95.88,100.38,100.5
Амурская область,106.57,104.79,109.48,,105.88,105.24,106.9,,102.46,103.82,100.36,,104.63,106.95,100.94,
Магаданская область,101.12,101.01,110,,102.36,102.4,100,,100.13,100,110,,100.0,100,100,
Сахалинская область,105.43,102.27,110.05,,93.61,90.09,98.38,,99.89,101.58,97.79,,101.46,100.51,102.69,
nan,,квартиры среднего качества (типовые),улучшенного качества,элитные квартиры,,квартиры среднего качества (типовые),улучшенного качества,элитные квартиры,,квартиры среднего качества (типовые),улучшенного качества,элитные квартиры,,квартиры среднего качества (типовые),улучшенного качества,элитные квартиры
Российская Федерация,108.02,108.06,108.25,106.42,115.03,113.65,116.19,115.34,120.01,120.17,120.17,118.16,121.03,120.05,122.15,119.45
Центральный федеральный округ,107.9,110.18,108.1,105.34,115.37,108.1,116.31,119.06,118.04,115.9,118.67,118.1,120.75,111.34,123.07,122.37
Белгородская область,111.31,111.65,111.28,,116.89,111.17,117.44,,117.89,111.23,118.53,,119.29,111.23,120.06,
Брянская область,125.37,127.72,111.79,140,125.33,127.33,113.33,140,125.99,128.18,113.23,140,126.84,129.09,113.91,140
Владимирская область,114.42,116.17,114.22,,122.06,143.1,119.6,,125.43,144.3,123.22,,126.07,138.59,124.6,
Воронежская область,108.25,109.07,107.96,105.06,116.71,118.94,115.9,112.36,118.98,122.24,117.78,112.36,125.81,124.08,126.6,112.36
Ивановская область,104.31,,104.31,,107.51,,107.51,,106.81,,106.81,,107.29,,107.29,
Калужская область,107.24,105.68,107.86,102.19,132.23,130.18,133.37,102.19,133.83,121.78,138.3,119.08,131.75,128.79,132.98,119.08
Костромская область,104.13,,104.13,,109.75,,109.75,,114.64,,114.64,,121.95,,121.95,
Курская область,105.8,,105.8,,110.73,,110.73,,118.64,,118.64,,116.73,,116.73,
Липецкая область,115.9,100.11,117.95,104.14,120.02,101.76,122.28,112.39,121.95,127.33,121.19,129.39,124.79,133.81,123.93,114.9
Московская область,109.24,111.66,107.89,106.52,118.52,114.9,120.62,103.89,119.9,116.86,121.67,105.24,119.55,116.37,121.4,105.03
Орловская область,103.34,106.98,103.04,106.99,113.1,117.16,113.36,107.97,119.65,117.16,119.42,123.94,119.73,122.23,119.58,121.47
Рязанская область,112.5,111.47,112.61,,131.04,136.29,130.46,,135.35,140.73,134.76,,144.9,148.01,144.56,
Смоленская область,110.3,118.94,107.32,,120.62,130.4,117.25,,122.56,139.49,116.72,,124.67,130.87,122.53,
Тамбовская область,116.04,114.45,116.78,108,124.35,116.89,127.8,116.64,122.49,118.67,124.26,116.64,125.78,121.02,127.97,118.97
Тверская область,115.24,,115.55,110.23,118.46,,118.97,110.25,120.0,,120.67,109.27,127.82,,128.74,113.24
Тульская область,105.47,100.95,106.42,101.83,110.0,102.71,108.71,118.49,114.16,114.63,113.62,116.82,112.7,114.63,111.79,116.82
Ярославская область,112.55,110.29,113.93,112.62,121.6,120.88,122.07,118.25,125.49,124.44,126.17,120.61,129.79,127.02,131.55,120.61
Город Москва столица Российской Федерации город федерального значения,105.27,103.17,105.85,105.25,110.74,77.61,110.92,119.15,113.52,98.27,112.91,118.06,115.85,80.01,118.62,122.48
Северо-Западный федеральный округ,108.47,108.01,109.77,109.43,114.75,114.64,116.45,110.04,122.62,123.07,121.1,122.69,120.88,122.17,117.33,117.96
Республика Карелия,106.51,104.37,107.39,,118.26,104.87,123.76,,122.95,109.84,128.33,,124.9,108.94,131.45,
Республика Коми,111.37,,111.37,,119.12,,119.12,,120.63,,120.63,,127.05,,127.05,
Архангельская область,105.61,109.52,105.13,102.84,108.74,112.53,108.34,103.43,109.96,109.75,110.15,103.56,112.03,115.04,111.79,104.57
Ненецкий автономный округ (Архангельская область),99.65,,99.65,,100.28,,100.28,,100.28,,100.28,,100.28,,100.28,
Архангельская область (кроме Ненецкого автономного округа),106.04,109.52,105.6,102.84,109.35,112.53,109.03,103.43,110.66,109.75,110.98,103.56,112.87,115.04,112.76,104.57
Вологодская область,110.45,107.25,120.35,109.85,121.3,118.49,130.31,109.85,127.03,125.51,132.16,111.25,131.38,130.76,133.86,110.11
Калининградская область,108.52,107.09,109.84,,119.21,116.57,121.63,,114.22,109.4,118.65,,121.52,123.58,119.62,
Ленинградская область,112.62,112.62,,,138.19,138.19,,,157.15,157.15,,,157.78,157.78,,
Новгородская область,102.71,100.09,104.83,,105.63,100.37,109.9,,109.1,103.26,113.83,,114.66,105.22,122.31,
Псковская область,116.32,114.5,123.35,100.43,121.05,121.12,123.35,100.43,128.67,126.04,139.28,102.44,129.62,126.24,142.43,102.44
Город Санкт-Петербург город федерального значения,108.48,108.07,109.91,109.48,114.48,114.57,115.73,110.09,122.95,123.33,121.37,122.84,120.55,122.02,115.12,118.07
Южный федеральный округ,105.7,103.03,109.33,104.44,109.88,105.59,115.75,107.2,113.49,108.59,120.39,107.31,114.05,109.27,120.74,108.83
Республика Адыгея (Адыгея),112.88,112.6,116.51,,117.1,116.98,118.72,,131.55,131.1,137.53,,133.54,132.37,148.84,
Республика Калмыкия,100.0,100,100,,100.4,100.51,100,,98.14,97.64,100,,101.35,101.72,100,
Республика Крым,104.71,104.34,106.05,100,108.06,106.84,112.39,104.65,111.46,110.16,116.22,96.1,116.03,116.95,113.14,96.1
Краснодарский край,104.13,101.56,109.95,100,104.42,103.27,107.61,95.82,107.75,104.93,115.07,92.44,107.71,104.53,115.78,92.44
Астраханская область,111.23,103.2,112.34,100,119.96,103.38,122.13,100,119.44,106.65,121.21,101.06,122.49,110.46,124.31,101.06
Волгоградская область,107.85,107.39,107.99,108.6,116.72,118.82,114.84,118.85,122.84,127.31,118.25,130.09,126.18,127.74,122.72,137.11
Ростовская область,110.06,107.05,110.73,113.56,126.5,113.14,130.02,128.25,130.43,121.81,132.93,125.39,129.89,123.32,131.84,124.98
Город федерального значения Севастополь,101.22,103.52,100.04,,102.09,106.09,100.04,,100.9,102.59,100.04,,100.75,102.14,100.04,
Северо-Кавказский федеральный округ,108.14,112.17,105.11,103.22,108.29,109.13,107.83,104.49,113.2,113.04,113.91,104.04,116.64,118.38,115.6,110.37
Республика Дагестан,108.77,100,124.16,102.04,109.51,99.98,126.25,102.04,120.38,117.03,128.57,104.77,125.81,125.65,129.79,104.77
Республика Ингушетия,101.28,101.72,100,100,100.45,100.61,100,100,102.0,101.68,102.98,102.9,102.45,102.29,102.98,102.9
Кабардино-Балкарская Республика,155.16,164.67,126,,136.64,144.45,112.7,,140.43,149.18,113.61,,142.87,150.92,118.19,
Карачаево-Черкесская Республика,105.08,112.49,102.65,100,105.08,112.49,102.65,100,105.06,112.49,102.62,100,105.14,112.49,102.76,100
Республика Северная Осетия-Алания,104.62,105.64,103.21,111.22,108.96,113.47,104.86,111.22,113.02,116.41,110.22,111.32,116.04,116.53,115.99,111.36
Чеченская Республика,100.94,100.8,101.23,101.26,100.25,100.41,99.91,100.05,97.22,96.93,97.82,97.63,97.88,97.93,97.82,97.63
Ставропольский край,105.48,109.2,103.55,101.07,106.39,104.39,107.59,104.55,112.23,107.73,115.11,102.94,116.17,116.5,115.91,118.42
Приволжский федеральный округ,109.9,110.8,109.43,107.35,119.22,120.8,118.53,113.19,125.34,128.2,123.71,118.92,127.62,129.3,127.2,117.69
Республика Башкортостан,107.76,109.83,104.69,105.61,121.92,126.65,114.76,117.81,130.76,134.66,124.46,129.86,134.32,136.16,134.11,116.51
Республика Марий Эл,108.44,112.69,105.76,,112.25,120.47,107.08,,117.04,125.95,111.44,,123.27,135.11,115.84,
Республика Мордовия,111.77,113.6,111.46,,121.32,121.88,121.22,,124.94,131.97,123.78,,126.84,127.47,126.73,
Республика Татарстан (Татарстан),109.22,109.24,108.73,117.84,115.45,114.78,115.05,131.61,125.0,126.53,123.15,137.64,127.99,125.06,129.75,135.72
Удмуртская Республика,103.2,101.74,105.74,100.29,106.08,103.41,110.97,100.36,108.35,105.51,114.59,100.38,108.78,105.68,115.33,100.53
Чувашская Республика - Чувашия,110.89,112.56,109.7,107.45,114.24,115.57,114.25,104.74,116.42,117.82,116.67,104.74,118.9,120.8,118.95,104.99
Пермский край,110.43,111.61,110.12,109.43,119.67,124.32,118.59,112.8,124.38,132.66,122.02,120.67,124.75,133.43,122.25,120.97
Кировская область,111.46,115.99,107.93,101.65,123.04,126.1,120.81,103.33,122.36,120.87,123.76,104.35,123.95,121.85,125.84,105.4
Нижегородская область,109.71,105.36,111.38,111.05,123.05,117.32,125.99,117.21,127.32,119.47,131.31,119.68,129.55,122.68,133.19,121.28
Оренбургская область,109.6,109.43,110.04,100,112.64,112.84,112.85,100,119.08,122.86,116.27,100,119.54,123.07,116.98,100
Пензенская область,114.36,115.09,114.31,,126.59,117.8,127.15,,131.76,129.24,131.92,,132.25,148.05,131.25,
Самарская область,109.46,108.77,110.46,100.99,123.04,128.23,121.7,105.92,124.58,131.95,120.92,123.35,126.61,131.82,123.3,135.16
Саратовская область,121.39,122.48,110.46,102.99,127.37,128.75,126.72,102.99,141.31,143.33,129.57,106.65,143.35,145.5,128.76,106.65
Ульяновская область,109.92,108.42,111.96,,122.86,122.92,122.78,,127.56,125.84,129.89,,129.6,130.84,127.9,
Уральский федеральный округ,105.64,106.96,105.38,104.97,113.24,113.64,113.32,109.96,117.42,116.44,117.97,111.2,118.68,120.3,118.76,110.12
Курганская область,109.1,108.38,109.44,,114.34,113.17,114.9,,121.94,114.42,125.57,,124.8,121.76,126.26,
Свердловская область,105.81,107.1,105.44,107.89,113.34,112.07,113.78,110.68,117.66,114.04,118.36,115.34,119.82,119.02,120.13,117.83
Тюменская область,104.23,104.91,104.3,96.22,110.05,109.16,110.28,106.51,114.51,112.96,115.1,100.66,114.2,115.65,114.61,86.76
Ханты-Мансийский автономный округ - Югра (Тюменская область),104.28,102.25,105.02,,113.22,108.05,115.1,,120.39,110.15,124.1,,120.87,111.5,124.27,
Ямало-Ненецкий автономный округ (Тюменская область),101.74,100,104.44,,102.74,100,106.97,,102.84,100.06,107.14,,102.94,100.23,107.14,
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),104.25,106.45,104.18,96.22,109.49,110.22,109.48,106.51,113.46,115.03,113.61,100.66,112.99,118.5,113,86.76
Челябинская область,109.97,109.08,110.88,106.92,124.69,119.75,129.51,115.09,126.99,122.02,132.24,107.21,131.53,126.23,136.9,116.3
Сибирский федеральный округ,110.88,112.74,109.59,116.17,117.66,118.74,117.06,115.89,121.23,121.72,120.75,127.75,124.01,123.87,124.21,120.21
Республика Алтай,113.67,111.98,115.74,,123.07,118.29,128.92,,118.98,116.53,121.98,,119.08,116.71,121.98,
Республика Тыва,118.65,118.65,,,118.61,118.61,,,118.71,118.71,,,113.67,113.67,,
Республика Хакасия,113.36,105.96,115.34,,117.55,106.23,120.59,,121.15,115.74,122.6,,121.51,115.74,123.05,
Алтайский край,109.18,109.12,109.18,110,117.02,118.77,116.57,115.36,120.24,124.94,119.01,118.95,124.36,129.34,122.98,128.32
Красноярский край,105.98,106.64,105.91,97.99,111.02,113.44,110.68,109.91,114.65,114.43,114.69,114.31,115.72,117.91,115.43,108.61
Иркутская область,106.57,107.31,106.3,,111.03,101.87,114.42,,116.1,107.69,119.21,,122.02,113.13,125.3,
Кемеровская область - Кузбасс,137.21,140.67,132.72,,142.48,141.84,143.3,,143.9,143.06,144.99,,144.85,143.87,146.13,
Новосибирская область,109.69,108.33,110.75,117.93,116.7,114.39,120.3,115.19,120.67,117.27,124.87,128.01,121.24,118.4,126.05,115.97
Омская область,111.57,112.8,110.07,112.7,118.75,122.02,114.77,121.66,123.65,125.04,121.64,133.49,131.54,128.89,134.23,143.97
Томская область,106.24,104.1,106.38,,116.47,116.7,116.45,,118.49,119.44,118.43,,123.24,127.16,122.99,
Дальневосточный федеральный округ,105.08,103.97,105.88,100.56,112.49,107.43,115.86,100.24,114.1,109.39,117.29,100.98,114.72,109.81,117.99,103.15
Республика Бурятия,103.57,103.29,103.99,,105.71,104.81,107.11,,111.45,108.53,115.97,,103.59,99.47,109.98,
Республика Саха (Якутия),104.45,106.66,100.12,,109.47,114.1,100.42,,110.19,115.2,100.41,,109.58,114.24,100.46,
Забайкальский край,104.55,,104.55,,134.1,,134.1,,136.18,,136.18,,137.86,,137.86,
Камчатский край,102.36,100,103.37,,101.41,100,102.02,,101.41,100,102.02,,107.43,100,110.58,
Приморский край,106.21,102.55,107.61,100.45,111.46,104.97,113.97,100.63,112.37,104.49,115.33,100.74,113.2,106.44,115.73,103.51
Хабаровский край,102.77,102.87,102.86,100.86,106.3,112.51,103.78,99.15,108.35,116.83,104.69,101.64,107.12,112.02,105.09,102.15
Амурская область,106.57,104.79,109.48,,112.84,110.28,117.03,,115.61,114.5,117.44,,120.97,122.45,118.54,
