Регион,Индекс цен на вторичном рынке для всех типов квартир за I квартал,Индекс цен на вторичном рынке для низкого качества за I квартал,Индекс цен на вторичном рынке для среднего качества (типовые) за I квартал,Индекс цен на вторичном рынке для улучшенного качества за I квартал,Индекс цен на вторичном рынке для элитного качества за I квартал,Индекс цен на вторичном рынке для всех типов квартир за II квартал,Индекс цен на вторичном рынке для низкого качества за II квартал,Индекс цен на вторичном рынке для среднего качества (типовые) за II квартал,Индекс цен на вторичном рынке для улучшенного качества за II квартал,Индекс цен на вторичном рынке для элитного качества за II квартал,Индекс цен на вторичном рынке для всех типов квартир за IV квартал,Индекс цен на вторичном рынке для низкого качества за IV квартал,Индекс цен на вторичном рынке для среднего качества (типовые) за IV квартал,Индекс цен на вторичном рынке для улучшенного качества за IV квартал,Индекс цен на вторичном рынке для элитного качества за IV квартал,Индекс цен на вторичном рынке для всех типов квартир за период с начала года,Индекс цен на вторичном рынке для низкого качества за период с начала года,Индекс цен на вторичном рынке для среднего качества (типовые) за период с начала года,Индекс цен на вторичном рынке для улучшенного качества за период с начала года,Индекс цен на вторичном рынке для элитного качества за период с начала года
Саратовская область,125.96,165.75,131.08,152.28,94.39,137.32,146.07,142.13,147.97,113.91,132.64,131.18,136.48,125.02,125.04,132.0,132.03,133.17,130.91,128.79
Ульяновская область,112.88,104.57,113.36,113.34,,116.5,104.67,118.79,114.71,,120.02,109.08,122.67,117.49,,116.3,108.49,117.55,115.45,
Уральский федеральный округ,120.23,118.95,118.74,122.63,128.47,121.51,119.25,121.85,120.96,122.23,117.45,118.01,115.2,121.64,122.3,112.73,114.04,110.55,116.22,120.97
Курганская область,123.69,,124.19,114.82,,137.22,,138.51,115.18,,117.54,,117.62,116.04,,114.84,,114.82,115.4,
Свердловская область,120.38,124.41,119.16,121.13,125.7,120.64,122.98,122.1,119.23,113.12,117.61,120.4,114.77,120.73,121.25,113.35,114.93,111.39,115.14,118.96
Тюменская область,112.94,105.26,113.37,112.55,,110.16,109.12,110.45,108.47,,112.66,111.35,113.29,108.69,,105.77,111.43,105.43,106.51,
Ханты-Мансийский автономный округ - Югра (Тюменская область),112.44,105.08,112.69,113.36,,110.44,109.18,110.91,107.74,,111.72,111.53,112.21,108.48,,106.39,111.02,106.05,107.35,
Ямало-Ненецкий автономный округ (Тюменская область),117.65,110.17,118.22,113.55,,111.92,114.57,111.36,116.99,,120.23,114.57,121.13,111.96,,105.56,118.83,105.53,102.38,
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),102.66,100,102.49,103.85,,98.02,100,96.21,102.89,,98.15,104.33,94.97,105.98,,94.9,104.33,90.77,104.86,
Челябинская область,155.81,,147.91,212.32,132.42,163.83,,157.98,225.5,135.68,142.85,,133.58,188.98,123.77,138.61,,130.43,172.69,123.96
Сибирский федеральный округ,126.01,119.94,129.02,122.62,127.84,123.52,117.96,125.82,120.72,128.73,120.13,113.57,121.85,118.11,124.58,117.97,116.51,119.42,115.7,125.32
Республика Алтай,153.42,,153.42,,,160.42,,160.42,,,155.76,,155.76,,,126.11,,126.11,,
Республика Тыва,120.71,143.12,120.13,119.49,112.5,110.85,122.67,110.95,109.85,105.88,107.51,103.53,107.24,108.91,100,110.11,100.41,108.61,113.47,100
Республика Хакасия,122.92,,117.08,123.6,,123.28,,111.44,124.76,,123.09,,106.67,125.13,,119.74,,103.6,121.76,
Алтайский край,130.69,111.3,132.25,124.27,141.67,132.34,114.19,132.12,133.05,140.88,120.13,108.75,119.21,121.72,128.05,118.3,115.52,116.01,118.65,134.09
Красноярский край,117.75,118.74,118.79,116.59,116.88,115.59,109.59,117.91,113.47,116.94,114.29,105.33,116.03,112.95,116.94,113.51,103.08,116.11,111.25,117.92
Иркутская область,114.33,112.91,115.86,110.4,101.5,113.54,100.65,114.71,110.61,104.38,110.42,100.65,111.55,107.56,100,106.82,100,107.42,105.4,100
Кемеровская область - Кузбасс,153.57,149.27,152.99,157.63,121.05,144.34,139.82,143.26,148.25,121.07,137.91,128.53,134.92,144.71,121.17,143.77,122.04,142.82,149.61,119.76
Новосибирская область,113.88,100,120.96,104.25,100.07,112.58,100,117.68,105.72,100,114.65,109,120.62,106.2,110,113.18,109,120,103.35,110
Омская область,126.98,113.12,131.32,124.63,121.52,124.85,113.85,127.07,123.46,126.54,126.19,118.95,125.62,127.23,133.35,123.16,126.9,120.88,124.5,130.49
Томская область,123.94,113.35,126.22,123.17,127.38,118.92,112.74,120.34,118.32,124.8,112.75,102.02,115.51,111.94,107.01,107.24,104.84,108.41,106.89,100.68
Дальневосточный федеральный округ,112.79,107.42,112.94,113.82,105.33,109.69,114.14,109.28,110.21,105.43,107.19,100.42,107.47,107.81,104.5,106.28,106.17,105.52,108.2,101.25
Республика Бурятия,117.4,102.37,117.09,118.72,,112.16,121.32,112.34,111.41,,111.8,123.77,110.54,112.84,,110.1,128.84,107.62,112.44,
Республика Саха (Якутия),104.48,119.05,104.48,103.71,,102.34,131.67,102.16,104.7,,102.46,90.6,102.57,100.9,,112.26,90.6,113.1,96.9,
Забайкальский край,114.39,,115.75,112.54,,111.79,,113.55,109.41,,106.93,,107.74,105.86,,102.49,,102.72,102.19,
Камчатский край,121.22,102.47,106.55,130.67,,114.89,101.28,105.95,120.91,,111.65,101.01,101.98,117.07,,108.03,101.07,109.67,108.05,
Приморский край,108.76,110.72,111.37,106.55,104.59,107.56,122.11,107.51,104.46,101.49,107.16,114.13,107.03,106.13,100.24,106.49,109.71,100.03,112.35,97.96
Хабаровский край,115.85,104.89,119.47,114.26,101.05,108.74,108.65,108.62,109.45,100.71,104.03,88.89,105.98,104.61,103.3,102.11,103.2,98.51,106.79,103.06
Амурская область,115.21,100.89,114.98,116.73,,113.93,96.59,113.37,117.52,,116.95,94.45,116.15,122.02,,109.54,96.57,109.26,111.34,
Магаданская область,135.25,,139.07,132.68,,127.28,,120.15,132.1,,124.77,,133.09,119.6,,124.56,,121.64,126.48,
Сахалинская область,109.6,118.38,109.89,107.2,110.29,114.31,118.38,115.78,107.09,114.2,106.36,110.02,106.19,105.14,109.74,101.73,101.31,101.81,100.97,102.53
Еврейская автономная область,123.03,,122.5,133.93,,120.88,,120.61,126.35,,118.68,,118.91,114.2,,123.15,,124.37,101.71,
nan,,низкого качества,квартиры среднего качества (типовые),улучшенного качества,элитные квартиры,,низкого качества,квартиры среднего качества (типовые),улучшенного качества,элитные квартиры,,низкого качества,квартиры среднего качества (типовые),улучшенного качества,элитные квартиры,,низкого качества,квартиры среднего качества (типовые),улучшенного качества,элитные квартиры
Российская Федерация,123.33,122.32,123.96,123.77,116.36,121.64,121.81,121.5,122.01,120.53,119.73,119.14,119.03,120.64,120.43,117.6,115.98,116.7,118.68,119.87
Центральный федеральный округ,124.88,137.37,124.87,126.37,117.58,122.37,132.32,121.57,122.12,123.04,119.5,128.25,118.82,118.51,122.61,117.25,124.64,116.68,115.66,122.38
Белгородская область,128.21,,127.12,129.12,,124.25,,121.08,126.91,,119.31,,116.55,121.66,,115.46,,112.57,117.92,
Брянская область,133.5,135.42,134.12,130.99,,127.89,131.72,126.91,129.73,,123.63,127.11,122.36,126.54,,119.88,122.42,118.46,123.65,
Владимирская область,143.0,,133.27,152.72,113.07,132.82,,124.2,141.59,108.98,127.13,,120.27,133.89,106.87,123.54,,117.14,129.77,105.86
Воронежская область,125.56,121.35,125.93,126.54,121.47,130.1,127.7,130.02,131.16,124.89,127.54,125.91,127.16,128.84,122.27,127.56,126.48,127.44,128.29,118.89
Ивановская область,121.69,105.14,123.42,121.16,107.44,121.84,103.05,120.51,126.23,107.36,120.93,104.19,118.48,127.06,106.59,117.69,117.09,114.27,124.84,106.22
Калужская область,131.15,96.51,134.75,121.48,,128.08,97.2,130.78,121.09,,126.86,103.09,128.1,125.11,,126.34,106.44,127.88,122.42,
Костромская область,121.06,105.15,125.49,119.68,109.99,123.49,109.89,127.28,122.61,111.47,121.75,111.07,125.31,120.9,109.95,118.83,106.82,121.87,118.01,109.96
Курская область,121.74,,120.51,122.13,125.44,119.36,,117.55,120.06,123.43,115.7,,115.21,115.7,119,112.68,,113.1,112.18,115.64
Липецкая область,131.77,,122.91,138.12,131.32,132.75,,123.83,138.8,133.42,130.11,,122.69,134.01,133.57,127.42,,120.99,130.33,131.67
Московская область,135.6,132.93,142.54,120.38,105.88,134.47,130.8,140.96,121.07,104.82,131.69,127.04,137.26,120.64,104.14,127.84,121.15,132.33,119.92,103.3
Орловская область,136.72,137.9,136.32,136.89,,129.63,134.98,131.35,128.62,,125.41,129.21,128.91,123.62,,123.43,123.37,127.17,121.65,
Рязанская область,129.62,148.87,133.85,125.23,121.2,131.66,138.48,139.62,128.23,128.07,127.15,132.9,131,124.57,128.07,124.74,128.11,127,122.81,128.92
Смоленская область,112.32,,108.26,116.86,,116.05,,115.87,116.24,,111.07,,113.34,108.79,,109.45,,110.87,108.01,
Тамбовская область,109.07,109.71,108.4,109.45,109.14,111.02,109.7,108.57,108.91,112.74,111.27,109.67,108.04,108.19,113.62,111.67,109.66,107.71,108.1,114.49
Тверская область,144.41,,137.77,143.94,152.66,140.41,,134.41,139.99,147.86,136.56,,130.85,137.66,142.74,129.88,,125.62,129.47,135.3
Тульская область,109.63,,115.63,106.45,,107.71,,113.06,104.83,,107.35,,112.01,104.81,,106.66,,110.84,104.37,
Ярославская область,119.7,118.25,115.12,122.78,112.09,119.78,109.08,118.29,121.6,115.79,118.89,106.27,115.56,120.23,120.68,116.85,107.91,118.25,117.15,115.65
Город Москва столица Российской Федерации город федерального значения,121.48,,117.01,126.73,117.14,117.36,,111.45,118.65,123.36,114.82,,109.73,114.64,122.82,112.75,,108.31,111.23,122.88
Северо-Западный федеральный округ,132.03,119.25,141.77,123.27,119.13,125.98,119.16,129.09,122.48,125.54,122.58,117.06,123.06,122.26,124.3,117.15,111.25,115.4,119.65,122.11
Республика Карелия,127.49,100,138.03,115.64,93.13,124.42,100,131.26,117.13,92.7,122.12,100,128.21,115.67,92.78,118.87,100,123.27,114.23,94.59
Республика Коми,119.69,113.26,114.17,124.88,108.98,120.6,107.98,117.72,124.37,108.45,121.88,110.12,118.13,126.29,109.23,123.42,110.48,118.84,128.79,107.94
Архангельская область,114.74,108.14,119.64,109.71,107.04,112.82,107.56,115.72,109.96,107.23,110.99,106.66,113.03,109.03,107.25,109.84,104.89,111.5,108.48,105.92
Ненецкий автономный округ (Архангельская область),116.09,,116.09,,,112.29,,112.29,,,112.14,,112.14,,,112.77,,112.77,,
Архангельская область (кроме Ненецкого автономного округа),114.68,108.14,119.98,109.71,107.04,112.84,107.56,116.06,109.96,107.23,110.94,106.66,113.12,109.03,107.25,109.69,104.89,111.38,108.48,105.92
Вологодская область,112.11,,108.72,118,,110.91,,107.39,117.17,,110.54,,106.86,117.13,,110.1,,107.2,115.2,
Калининградская область,139.72,119.83,133.3,149.47,155.74,143.23,116.27,138.01,150.13,162.45,138.27,112.26,129.71,144.02,166.56,133.91,109.24,125.15,138.21,162.88
Ленинградская область,115.46,106.25,126.49,103.72,100,115.71,106.25,125.83,105.08,100.44,114.81,106.01,122.86,106.39,101.23,112.69,105.86,118.61,106.37,101.59
Мурманская область,142.93,,140.12,148.09,,139.38,,134.72,148.08,,134.38,,129.37,143.69,,126.26,,122.37,133.47,
Новгородская область,124.69,122.16,122.22,128.03,,120.46,119.06,119.53,121.82,,119.16,117.42,115.83,123.6,,118.37,113.94,115.5,122.55,
Псковская область,112.96,118.99,115.59,106.09,,119.13,118.99,123.86,108.17,,121.32,120.79,126.32,109.75,,120.12,123.99,124.3,109.81,
Город Санкт-Петербург город федерального значения,136.67,121.25,154.23,122.13,116.02,126.16,121.93,131.15,120.12,123.28,121.65,119.66,122.68,120.73,120.69,114.08,112.38,111.6,117.44,118.07
Южный федеральный округ,122.66,123.05,119.19,127.55,114.94,121.24,119.14,118.45,125.37,116.92,118.9,115.82,116.6,122.34,116.76,116.91,112.49,114.49,120.58,116.38
Республика Адыгея (Адыгея),166.82,152.77,150.57,193.96,,159.86,152.62,150.87,172.92,,144.07,141.91,136.9,152.32,,128.42,127.52,126.06,131.12,
Республика Калмыкия,123.44,110,119.46,140.58,,121.34,110,116.62,141.78,,115.67,106.45,111.88,131.48,,113.32,104.76,110.05,126.89,
Республика Крым,110.23,100,108.71,123.87,106.33,109.73,100,107.83,126.25,106.33,109.1,100,107.06,126.56,106.33,109.08,100,107.75,120.64,105.03
Краснодарский край,145.33,131.47,141.56,150.55,,129.72,117.26,128.43,132.93,,116.65,110.93,115.56,118.37,,113.84,106.55,106.21,120.61,
Астраханская область,115.89,102.51,121.16,105.12,100.49,119.04,102.51,125.24,106.34,100.53,117.69,102.51,123.21,106.3,100.52,114.72,102.48,119.1,105.57,100.52
Волгоградская область,120.46,126.5,117.05,121.86,123.09,120.52,124.18,116.4,122.83,123.59,118.93,122.33,115.16,120.97,121.95,117.8,120.61,113.59,120.32,120.86
Ростовская область,117.21,109.8,117.25,118.94,106.19,118.31,106.77,118.3,120.41,111.76,119.43,105.86,119.57,121.61,114.03,118.55,105.69,118.93,120.27,114.94
Город федерального значения Севастополь,108.21,,108.55,107.27,,106.56,,107.16,104.91,,105.79,,105.92,105.41,,104.67,,104.91,104,
Северо-Кавказский федеральный округ,109.79,123.13,110.29,110.8,102.06,108.38,123.74,108.51,110.01,101.16,107.71,121.26,107.83,109.57,100.04,107.53,119.49,107.94,108.91,99.28
Республика Дагестан,119.7,100,121.57,118.09,,115.89,100,120.43,111.44,,114.73,100,118.36,111.18,,114.18,100,117.45,110.95,
Республика Ингушетия,112.95,,112.73,113.89,,112.56,,112.61,112.37,,109.11,,109.27,108.46,,107.01,,107.24,106.08,
Кабардино-Балкарская Республика,129.51,202.48,135.19,123.64,100.89,123.6,202.48,127.07,118.8,100.89,125.95,200.98,130.55,113.43,105.51,123.01,200.23,126.83,110.37,105.57
Карачаево-Черкесская Республика,136.5,135.87,142.64,119.89,,131.59,135.87,137.87,112.71,,129.55,126.48,138.34,108.13,,123.57,118.63,131.01,105.97,
Республика Северная Осетия-Алания,108.31,107.4,109.32,106.57,100,109.91,107.4,111.25,108.66,100,108.74,104.81,110.17,108.09,100,109.0,103.57,110.81,107.99,100
Чеченская Республика,106.54,,106.35,109.16,102.19,104.82,,104.43,107.63,101.2,103.94,,103.64,106.84,99.64,104.05,,104.21,106.04,98.8
Ставропольский край,122.36,124.35,135.65,111.97,,125.84,126.59,137.47,116.95,,126.04,125.89,135.6,118.67,,124.74,124.45,132.57,118.62,
Приволжский федеральный округ,123.44,124.89,121.88,127.27,106.45,123.7,125.08,122.49,126.48,111.17,122.63,122.41,120.59,126.42,114.65,121.38,118.57,120.07,124.31,115.62
Республика Башкортостан,118.72,114.22,118.28,120.02,110.2,120.27,114.15,120.28,120.96,112.34,120.02,114.14,119.95,120.82,111.08,118.9,111.84,118.49,120.36,109.87
Республика Марий Эл,133.46,,134.81,132.69,,132.66,,132.25,132.89,,132.59,,132.11,132.87,,130.31,,129,131.06,
Республика Мордовия,133.03,124.12,134.49,133.4,,130.0,118.69,129.36,132.63,,129.16,116.57,127.2,133.15,,128.08,112.92,127.28,131.55,
Республика Татарстан (Татарстан),127.27,119.04,120.17,137.93,143.18,126.33,117.97,118.87,137.55,138.46,126.81,116.88,118.84,139.11,139.52,124.92,113.43,119.3,133.77,129.32
Удмуртская Республика,115.82,115.3,115.46,116.24,,115.04,117.6,115.08,114.01,,114.6,114.61,115.21,114.23,,113.92,111.72,114.64,114.36,
Чувашская Республика - Чувашия,156.65,,159.48,153.17,,148.15,,149.06,147,,144.54,,150.33,137.74,,140.19,,144.73,134.72,
Пермский край,114.51,112.47,114.78,113.18,100.27,119.47,110.8,120.05,111.85,100.27,118.73,109.88,119.3,109.91,101.95,116.81,108.45,117.32,108.63,102.79
Кировская область,135.95,174.02,140.55,130.43,113.7,132.14,166.76,135.24,127.66,112.61,130.59,161.84,133.67,126.6,109.83,126.48,138.22,126.35,126.15,107.33
Нижегородская область,125.25,128.49,129.96,120.81,111.22,124.02,129.62,127.77,119.6,109.58,122.86,126.1,125.47,120.05,110.15,120.56,122.74,122.66,118.41,110.15
Оренбургская область,105.25,101.26,107.89,106.25,96.82,106.1,101.54,106.56,109.32,97.93,106.89,101.71,107.44,110.3,98.8,107.85,101.74,107.12,112.78,100.42
Пензенская область,101.59,,97.41,113.07,,107.54,,105.83,111.92,,82.21,,74.52,109.91,,89.42,,82.85,111.09,
Самарская область,117.91,103.14,116.32,118.31,129.78,117.24,103.14,116.59,116.31,127.47,116.11,103.08,116.69,113.78,122.85,114.54,103,115.3,112.05,120.52
Саратовская область,125.96,165.75,131.08,152.28,94.39,131.48,156.13,136.44,150.03,103.44,131.88,146.24,136.46,140.97,110.35,131.91,142.22,135.6,138.37,115.01
Ульяновская область,112.88,104.57,113.36,113.34,,114.72,104.62,116.12,114.03,,116.53,106.13,118.38,115.21,,116.47,106.73,118.16,115.27,
Уральский федеральный округ,120.23,118.95,118.74,122.63,128.47,120.88,119.1,120.3,121.77,125.27,119.69,118.73,118.53,121.73,124.22,117.84,117.5,116.41,120.25,123.35
Курганская область,123.69,,124.19,114.82,,130.37,,131.25,115,,125.75,,126.32,115.35,,122.79,,123.19,115.36,
Свердловская область,120.38,124.41,119.16,121.13,125.7,120.51,123.68,120.65,120.15,119.21,119.51,122.56,118.61,120.35,119.93,117.88,120.51,116.73,118.96,119.67
Тюменская область,112.94,105.26,113.37,112.55,,111.54,107.16,111.91,110.48,,111.92,108.53,112.38,109.87,,110.29,109.25,110.52,109.01,
Ханты-Мансийский автономный округ - Югра (Тюменская область),112.44,105.08,112.69,113.36,,111.44,107.09,111.8,110.5,,111.53,108.54,111.93,109.81,,110.18,109.15,110.37,109.18,
Ямало-Ненецкий автономный округ (Тюменская область),117.65,110.17,118.22,113.55,,114.79,112.37,114.8,115.3,,116.65,113.1,116.97,114.17,,113.58,114.6,113.78,111.05,
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),102.66,100,102.49,103.85,,100.33,100,99.33,103.37,,99.59,101.44,97.86,104.25,,98.41,102.17,96.07,104.4,
Челябинская область,155.81,,147.91,212.32,132.42,159.88,,153.02,219.06,134.07,153.62,,145.77,207.66,130.39,149.48,,141.49,197.41,128.7
Сибирский федеральный округ,126.01,119.94,129.02,122.62,127.84,124.74,118.93,127.38,121.65,128.29,123.13,117.07,125.45,120.42,126.97,121.76,116.92,123.83,119.18,126.52
Республика Алтай,153.42,,153.42,,,157.01,,157.01,,,156.55,,156.55,,,147.06,,147.06,,
Республика Тыва,120.71,143.12,120.13,119.49,112.5,115.58,132.11,115.37,114.46,109.09,112.69,120.98,112.49,112.47,105.88,111.99,115.08,111.44,112.74,104.35
Республика Хакасия,122.92,,117.08,123.6,,123.1,,114.19,124.18,,123.1,,111.56,124.51,,122.22,,109.44,123.79,
Алтайский край,130.69,111.3,132.25,124.27,141.67,131.53,112.73,132.19,128.76,141.27,127.57,111.37,127.71,126.28,136.48,125.08,112.42,124.58,124.23,135.81
Красноярский край,117.75,118.74,118.79,116.59,116.88,116.65,113.99,118.34,115,116.91,115.83,110.99,117.54,114.29,116.92,115.21,108.88,117.16,113.48,117.18
Иркутская область,114.33,112.91,115.86,110.4,101.5,113.93,106.43,115.28,110.51,102.92,112.72,104.43,113.99,109.51,101.93,111.17,103.29,112.26,108.44,101.44
Кемеровская область - Кузбасс,153.57,149.27,152.99,157.63,121.05,148.73,144.3,147.85,152.73,121.06,144.92,138.78,143.24,149.96,121.1,144.62,134.09,143.13,149.87,120.74
Новосибирская область,113.88,100,120.96,104.25,100.07,113.22,100,119.3,105,100.03,113.7,103,119.75,105.4,103.36,113.57,104.5,119.82,104.88,105.02
Омская область,126.98,113.12,131.32,124.63,121.52,125.89,113.48,129.13,124.03,124.04,126.0,115.34,127.88,125.15,127.38,125.22,118.34,125.95,124.97,128.22
Томская область,123.94,113.35,126.22,123.17,127.38,121.35,113.04,123.19,120.67,126.08,118.32,109.07,120.46,117.6,119.01,115.33,107.97,117.2,114.72,113.83
Дальневосточный федеральный округ,112.79,107.42,112.94,113.82,105.33,111.22,110.8,111.08,112,105.38,109.84,107.14,109.85,110.56,105.08,108.91,106.88,108.72,109.95,104.09
Республика Бурятия,117.4,102.37,117.09,118.72,,114.7,111.86,114.65,114.95,,113.7,115.78,113.22,114.22,,112.75,119.12,111.73,113.75,
Республика Саха (Якутия),104.48,119.05,104.48,103.71,,103.4,125.04,103.31,104.2,,103.08,110.98,103.06,103.08,,105.43,105.07,105.62,101.47,
Забайкальский край,114.39,,115.75,112.54,,113.07,,114.63,110.95,,110.95,,112.27,109.18,,108.72,,109.76,107.33,
Камчатский край,121.22,102.47,106.55,130.67,,118.04,101.87,106.25,125.77,,115.8,101.58,104.82,122.65,,113.74,101.45,106.07,118.7,
Приморский край,108.76,110.72,111.37,106.55,104.59,108.16,116.36,109.4,105.5,103.02,107.82,115.59,108.58,105.71,102.07,107.48,114.03,106.42,107.34,101.01
Хабаровский край,115.85,104.89,119.47,114.26,101.05,112.27,106.81,113.99,111.85,100.88,109.42,100.35,111.2,109.39,101.69,107.47,101.09,107.75,108.71,102.03
Амурская область,115.21,100.89,114.98,116.73,,114.56,98.71,114.16,117.13,,115.37,97.26,114.83,118.75,,113.86,97.09,113.4,116.81,
Магаданская область,135.25,,139.07,132.68,,131.04,,129.06,132.37,,128.78,,130.47,127.67,,127.59,,127.98,127.34,
Сахалинская область,109.6,118.38,109.89,107.2,110.29,111.94,118.38,112.82,107.14,112.21,110.04,115.45,110.56,106.47,111.37,107.88,111.55,108.29,105.04,109
Еврейская автономная область,123.03,,122.5,133.93,,121.93,,121.53,130.03,,120.76,,120.59,124.23,,121.41,,121.6,117.66,
